"Protein","Gene","Description","GeneSymbol","Ctrl.Rep1","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"Q96QC0","PP1RA_HUMAN","Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (Protein FB19) (p99)","PPP1R10",4.39,4.37,4.53,4.74,4.45,4.57,4.47,4.92,3.89,4.37,3.26,1,0.09,4.35968785889055,0.42,0.68,0.88,-4.73,0.765136348794212
"Q9NP61","ARFG3_HUMAN","ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)","ARFGAP3",6.62,6.75,7.09,7.17,7.13,7.07,6.66,7.14,6.22,7.07,6.13,1,0.09,6.82404137938447,0.42,0.68,0.88,-4.73,0.525447367693237
"P25685","DNJB1_HUMAN","DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)","DNAJB1",8.82,9.26,9.62,9.55,9.22,9.41,9.45,9.45,7.17,7.15,7.19,5,0.07,8.75354420346448,0.42,0.68,0.88,-4.73,2.21058432427655
"Q96LD4","TRI47_HUMAN","Tripartite motif-containing protein 47 (Gene overexpressed in astrocytoma protein) (RING finger protein 100)","TRIM47",4.9,4.08,4.38,3.84,4.45,4.32,4.4,4.37,2.04,2.08,2.13,1,0.09,3.7257917202186,0.42,0.68,0.88,-4.73,2.30413748149117
"P07384","CAN1_HUMAN","Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)","CAPN1",9.53,9.76,9.9,9.93,9.87,9.86,9.69,9.89,8.31,8.41,8.23,9,0.05,9.39659902445429,0.42,0.68,0.88,-4.73,1.5080420611436
"Q53GS9","SNUT2_HUMAN","U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K)","USP39",6.23,6.37,6.35,6.48,6.3,6.27,6.35,6.36,5.11,5.08,4.9,3,-0.05,5.98147330879804,-0.42,0.68,0.88,-4.73,1.33271122716791
"O75376","NCOR1_HUMAN","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1",3.57,4.3,4.22,4.69,3.83,4.92,4.14,4.54,1.43,0,1.66,1,0.16,3.39160512221073,0.42,0.68,0.88,-4.73,3.32608267751739
"P17096","HMGA1_HUMAN","High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)","HMGA1",9.24,7.87,7.84,7.9,7.91,8.07,8.21,8.17,7.57,6.95,6.87,2,-0.12,7.87364975616548,-0.42,0.68,0.88,-4.73,1.08316881683153
"P49773","HINT1_HUMAN","Histidine triad nucleotide-binding protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)","HINT1",7.07,7.73,8.61,7.88,7.61,7.88,8.48,7.82,6.15,5.77,5.75,2,0.12,7.34081576922495,0.41,0.69,0.88,-4.73,2.05098320957465
"P09651","ROA1_HUMAN","Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]","HNRNPA1",10.48,10.27,9.99,10.24,10.36,10.09,10.15,10.19,8.95,8.97,8.84,5,-0.05,9.86630671128844,-0.41,0.69,0.88,-4.73,1.32513964702154
"P07814","SYEP_HUMAN","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]","EPRS",10.19,10.5,10.63,10.42,10.43,10.32,10.78,10.43,9.17,9.05,9.18,12,0.05,10.1009409621404,0.41,0.69,0.88,-4.73,1.35550950482991
"Q15651","HMGN3_HUMAN","High mobility group nucleosome-binding domain-containing protein 3 (Thyroid receptor-interacting protein 7) (TR-interacting protein 7) (TRIP-7)","HMGN3",5.98,5.49,5.86,5.37,5.32,5.54,5.41,6.09,4.02,4.53,4.2,1,-0.09,5.25391391396053,-0.41,0.69,0.88,-4.73,1.4244349709704
"O95707","RPP29_HUMAN","Ribonuclease P protein subunit p29 (hPOP4) (EC 3.1.26.5)","POP4",7.54,7.19,7.32,7.13,7.22,7.33,7.12,7.3,5.63,5.51,5.41,1,-0.05,6.79236827436663,-0.41,0.69,0.88,-4.73,1.77795222379077
"P10768","ESTD_HUMAN","S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56)","ESD",6.54,7.49,8.24,7.64,7.26,7.62,7.87,7.65,5.74,5.66,5.82,3,0.12,7.04754689660056,0.41,0.69,0.88,-4.73,1.85961131045018
"P35998","PRS7_HUMAN","26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2) (Protein MSS1)","PSMC2",7.67,7.94,7.86,8.14,7.91,7.78,8.1,8.03,6.73,6.96,6.67,4,0.05,7.6164916275559,0.41,0.69,0.88,-4.73,1.16848304885425
"Q8IZL8","PELP1_HUMAN","Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor) (Transcription factor HMX3)","PELP1",5.56,5.58,5.62,5.71,5.79,5.66,5.56,5.67,4.39,4.8,4.64,1,0.05,5.36178460055248,0.41,0.69,0.88,-4.73,1.0549044863966
"Q9HCM4","E41L5_HUMAN","Band 4.1-like protein 5","EPB41L5",5.82,6.25,6.37,6.22,6.18,5.98,6.32,5.91,4.75,4.34,4.36,1,-0.07,5.68078796600746,-0.41,0.69,0.88,-4.73,1.68512089873377
"Q9H0I3","CC113_HUMAN","Coiled-coil domain-containing protein 113","CCDC113",2.99,2.28,3.62,2.75,2.61,3.26,3.18,3.06,0,0,0,1,0.11,2.15954441529615,0.41,0.69,0.88,-4.73,3.02408075724315
"Q9UJV9","DDX41_HUMAN","Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41) (DEAD box protein abstrakt homolog)","DDX41",5.69,5.27,5.48,5.63,5.62,5.64,5.5,5.52,4.53,4.7,4.36,1,0.05,5.26828948014565,0.41,0.69,0.88,-4.73,1.04021584968024
"P25440","BRD2_HUMAN","Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein)","BRD2",6.21,6.22,6.59,6.37,6.19,6.41,6.2,6.37,4.36,4.71,4.41,1,-0.05,5.8216930823846,-0.41,0.69,0.88,-4.73,1.85546096080016
"Q13123","RED_HUMAN","Protein Red (Cytokine IK) (IK factor) (Protein RER)","IK",6.94,6.46,6.6,6.73,6.63,6.74,6.4,6.74,5.73,5.96,5.66,1,-0.06,6.41631770954444,-0.41,0.69,0.88,-4.74,0.902382585328964
"P42224","STAT1_HUMAN","Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)","STAT1",4.31,4.9,5.37,4.83,4.31,4.87,5.22,4.62,2.89,2.84,2.56,1,-0.1,4.24720269326189,-0.4,0.69,0.88,-4.74,2.09053367543265
"Q9HCE1","MOV10_HUMAN","Putative helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)","MOV10",7.18,7.36,7.04,7.14,7.29,7.09,7.25,7.26,5.82,5.97,5.79,3,0.04,6.83492292468852,0.4,0.69,0.88,-4.74,1.36076116621257
"Q12906","ILF3_HUMAN","Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)","ILF3",11.35,11.01,10.82,10.94,11.12,10.9,10.88,11.04,9.41,9.4,9.39,20,-0.05,10.5698563218974,-0.4,0.7,0.88,-4.74,1.62969968222446
"P52943","CRIP2_HUMAN","Cysteine-rich protein 2 (CRP-2) (Protein ESP1)","CRIP2",9.45,9.51,10.09,9.65,9.44,9.68,9.82,9.51,7.39,7.27,7.36,6,-0.06,9.01480749357019,-0.4,0.7,0.88,-4.74,2.33155950719879
"P53396","ACLY_HUMAN","ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)","ACLY",9.53,9.75,10.31,9.87,9.85,9.77,10.27,9.82,8.32,8.42,8.34,9,0.07,9.47742451169218,0.4,0.7,0.88,-4.74,1.56978922467209
"Q13509","TBB3_HUMAN","Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)","TUBB3",5.67,5.82,5.85,5.71,5.6,5.85,6,5.79,4.33,4.64,4.39,1,0.05,5.42290544641429,0.4,0.7,0.88,-4.74,1.35720221520289
"Q13242","SRSF9_HUMAN","Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)","SRSF9",9.57,9.54,9.02,9.51,9.88,9.3,9.22,9.5,8.02,7.92,7.93,9,0.07,9.03621815635127,0.4,0.7,0.88,-4.74,1.51882390303588
"Q9P0M6","H2AW_HUMAN","Core histone macro-H2A.2 (Histone macroH2A2) (mH2A2)","H2AFY2",7.52,6.96,6.81,7.03,6.87,7.17,7.03,6.98,5.63,5.1,5.35,2,-0.07,6.58624939481337,-0.4,0.7,0.88,-4.74,1.72092971258382
"O95433","AHSA1_HUMAN","Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38)","AHSA1",6.41,6.96,7.7,7.22,6.89,7.24,7.66,6.9,5.52,5.53,5.46,1,0.1,6.68043216660243,0.4,0.7,0.88,-4.74,1.66758691827692
"Q86U38","NOP9_HUMAN","Nucleolar protein 9","NOP9",7.2,6.37,6.4,6.47,6.61,6.57,6.31,6.64,5.45,5.78,5.3,2,-0.08,6.28236801630981,-0.39,0.7,0.88,-4.74,1.09793761891877
"P55769","NH2L1_HUMAN","NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]","SNU13",7.21,6.37,5.92,6.79,6.62,6.49,6.08,6.66,6.56,6.3,5.63,1,-0.11,6.42015062195875,-0.39,0.7,0.88,-4.74,0.408617192872762
"Q92764","KRT35_HUMAN","Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)","KRT35",6.44,6.39,6.72,6.47,6.64,6.75,6.36,6.48,4.45,4.84,4.6,1,0.05,6.01298405773479,0.39,0.7,0.88,-4.74,1.93004853266517
"Q9C005","DPY30_HUMAN","Protein dpy-30 homolog (Dpy-30-like protein) (Dpy-30L)","DPY30",6.74,6.96,7.49,7.05,6.91,7.26,7.16,7.19,4.81,4.99,5.3,3,0.07,6.53376426698981,0.39,0.7,0.88,-4.74,2.09741955471149
"Q9H0A8","COMD4_HUMAN","COMM domain-containing protein 4","COMMD4",4.27,4.62,5.11,4.5,4.44,4.44,4.61,4.69,3.07,3.58,3,1,-0.08,4.21081519483153,-0.39,0.7,0.88,-4.74,1.41070704348646
"Q9HCE5","MET14_HUMAN","N6-adenosine-methyltransferase non-catalytic subunit (Methyltransferase-like protein 14) (hMETTL14)","METTL14",6.61,6.64,6.68,6.85,6.74,6.84,6.58,6.8,4.97,5.49,5.26,2,0.05,6.31330550590265,0.38,0.71,0.89,-4.74,1.50256142629894
"P18124","RL7_HUMAN","60S ribosomal protein L7 (Large ribosomal subunit protein uL30)","RPL7",11.35,11.45,11.11,11.2,11.31,11.05,11.39,11.18,10.22,9.9,10.01,14,-0.04,10.9257087586816,-0.38,0.71,0.89,-4.74,1.23204327652677
"Q9Y4L1","HYOU1_HUMAN","Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)","HYOU1",5.14,4.11,3.87,3.92,4.42,4.19,3.73,4.29,3.08,2.92,3.08,1,-0.1,3.88650797572644,-0.38,0.71,0.89,-4.74,1.23044730527425
"Q2NL82","TSR1_HUMAN","Pre-rRNA-processing protein TSR1 homolog","TSR1",6.13,5.86,5.74,5.85,5.97,5.72,5.89,5.76,4.04,4.67,4.12,1,-0.06,5.43248093326327,-0.38,0.71,0.89,-4.74,1.6141440466956
"Q9NZU5","LMCD1_HUMAN","LIM and cysteine-rich domains protein 1 (Dyxin)","LMCD1",5.85,5.59,5.52,5.62,5.86,5.53,5.27,5.67,3.73,4.19,3.88,1,-0.06,5.15531971737673,-0.38,0.71,0.89,-4.74,1.71078756300075
"Q9NV31","IMP3_HUMAN","U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)","IMP3",5.52,5.72,5.37,5.62,5.52,5.39,5.59,5.52,4.01,4.48,4.37,2,-0.05,5.19142569854709,-0.37,0.72,0.89,-4.74,1.27066943354875
"P22626","ROA2_HUMAN","Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)","HNRNPA2B1",12.86,12.55,11.98,12.42,12.6,12.24,12.31,12.42,11.13,10.88,11,20,-0.06,12.0356105553228,-0.37,0.72,0.89,-4.74,1.44681447905952
"Q13330","MTA1_HUMAN","Metastasis-associated protein MTA1","MTA1",5.25,5.41,5.69,5.76,5.5,5.73,5.45,5.64,3.7,3.71,3.8,1,0.05,5.05704891942214,0.37,0.72,0.89,-4.74,1.84398058738744
"P63173","RL38_HUMAN","60S ribosomal protein L38 (Large ribosomal subunit protein eL38)","RPL38",9.01,9.17,9.29,8.96,8.93,8.95,9.32,9.01,7.78,7.23,7.42,5,-0.05,8.64270936652114,-0.37,0.72,0.89,-4.74,1.62984755234172
"Q6P996","PDXD1_HUMAN","Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)","PDXDC1",5.15,4.6,4.59,4.33,4.27,4.34,5.14,4.59,3.35,3.23,3.68,1,-0.09,4.29778039582887,-0.37,0.72,0.89,-4.74,1.25159246630716
"Q8IZ83","A16A1_HUMAN","Aldehyde dehydrogenase family 16 member A1","ALDH16A1",7.32,8.01,8,8.18,7.87,7.96,7.91,8.05,6.64,7.13,6.65,4,0.07,7.61185613630844,0.37,0.72,0.89,-4.74,1.13850682085934
"Q9H8H0","NOL11_HUMAN","Nucleolar protein 11","NOL11",5.93,5.28,4.58,5.8,5.74,5.4,5.27,5.58,4.79,4.96,4.4,2,0.1,5.24791930971787,0.37,0.72,0.89,-4.74,0.780736186408785
"Q9NY12","GAR1_HUMAN","H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)","GAR1",8.65,7.5,6.77,7.78,7.5,7.57,7.53,7.63,6.48,6.41,5.7,4,-0.12,7.22985808738806,-0.37,0.72,0.89,-4.74,1.48120368938081
"Q05639","EF1A2_HUMAN","Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1)","EEF1A2",9.01,9.73,10.37,9.7,9.73,9.76,10.1,9.57,8.21,7.93,8.39,8,0.09,9.31719977420167,0.37,0.72,0.89,-4.74,1.61053444532634
"Q10570","CPSF1_HUMAN","Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)","CPSF1",6.51,6.39,6.68,6.64,6.3,6.65,6.46,6.46,4.47,3.97,5.35,1,-0.09,5.98833850504193,-0.36,0.72,0.89,-4.74,1.95850540738458
"Q13243","SRSF5_HUMAN","Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)","SRSF5",7.79,7.38,6.84,7.49,7.37,7.14,7.4,7.31,6.22,5.7,6.18,3,-0.07,6.9836161076242,-0.36,0.72,0.89,-4.74,1.34131319618692
"P62753","RS6_HUMAN","40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)","RPS6",10.86,11.04,10.95,11.03,11.16,10.89,11.03,10.94,9.52,9.25,9.41,12,0.04,10.5525391994418,0.36,0.72,0.89,-4.74,1.61191136267206
"P31948","STIP1_HUMAN","Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)","STIP1",9.89,10.01,10.6,10.19,10.08,10.13,10.49,10.22,8.51,8.55,8.65,12,0.06,9.7564263890309,0.36,0.72,0.89,-4.74,1.66007259242803
"Q96JY6","PDLI2_HUMAN","PDZ and LIM domain protein 2 (PDZ-LIM protein mystique)","PDLIM2",6.17,5.58,5.21,5.29,5.49,5.61,5.13,5.71,4.2,4.51,4.36,1,-0.08,5.20479205138335,-0.36,0.73,0.9,-4.74,1.20885951779182
"Q9UGP8","SEC63_HUMAN","Translocation protein SEC63 homolog","SEC63",5.96,6.07,5.74,6.05,6.13,5.91,6.01,5.95,5.02,5.32,4.99,1,0.05,5.74276720198124,0.36,0.73,0.9,-4.74,0.88916082162227
"Q9HB71","CYBP_HUMAN","Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein)","CACYBP",7.42,8.03,9.08,8.3,8.05,8.19,8.93,8.13,6.26,5.43,6.06,2,0.12,7.62541796421013,0.36,0.73,0.9,-4.74,2.40680283914311
"P52292","IMA1_HUMAN","Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha)","KPNA2",6.83,6.79,6.88,6.87,7.11,6.92,6.72,6.79,5.54,5.19,5.37,1,0.04,6.45562742474008,0.36,0.73,0.9,-4.74,1.51875939479022
"Q8TCU6","PREX1_HUMAN","Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)","PREX1",10.51,10.54,10.54,10.22,10.39,10.37,10.61,10.28,8.9,8.64,8.88,17,-0.04,9.98953850798598,-0.36,0.73,0.9,-4.74,1.64598649652044
"Q8NAV1","PR38A_HUMAN","Pre-mRNA-splicing factor 38A","PRPF38A",6.79,6.16,6.13,6.27,6.46,6.21,6.28,6.16,4.83,5.38,5.16,1,-0.06,5.98495358181234,-0.35,0.73,0.9,-4.74,1.20948672822162
"Q6NXG1","ESRP1_HUMAN","Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A)","ESRP1",9.01,9.04,8.86,8.98,9.09,8.89,8.87,8.9,7.12,6.95,7,4,-0.03,8.42802207078759,-0.35,0.73,0.9,-4.74,1.94748658553561
"Q15428","SF3A2_HUMAN","Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62)","SF3A2",8.06,7.94,7.54,7.78,7.76,7.79,7.84,7.75,6.71,7,7,3,-0.04,7.56058782470622,-0.35,0.73,0.9,-4.74,0.924874285979907
"Q9H993","ARMT1_HUMAN","Protein-glutamate O-methyltransferase (EC 2.1.1.-) (Acidic residue methyltransferase 1)","ARMT1",4.44,4.98,6.11,5.22,4.99,5.19,5.85,5.17,3.62,3.58,3.07,1,0.11,4.74546728273441,0.35,0.73,0.9,-4.74,1.87687906527715
"Q15424","SAFB1_HUMAN","Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)","SAFB",10.16,9.77,9.6,9.76,9.95,9.69,9.69,9.78,8.6,8.64,8.51,9,-0.04,9.46629738115941,-0.35,0.73,0.9,-4.74,1.23739395195266
"O95340","PAPS2_HUMAN","Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]","PAPSS2",6.74,7.03,7.25,7.04,6.92,7.08,7.04,6.85,4.94,5,5.03,2,-0.04,6.4468386064539,-0.35,0.73,0.9,-4.74,2.02379824404773
"P38919","IF4A3_HUMAN","Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]","EIF4A3",10.52,10.44,10.22,10.39,10.39,10.36,10.34,10.36,8.84,8.75,8.94,16,-0.03,9.95814538615038,-0.35,0.73,0.9,-4.74,1.55025402920039
"Q14697","GANAB_HUMAN","Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)","GANAB",6.03,5.8,4.99,5.74,5.96,5.64,5.51,5.74,4.55,4.8,4.48,2,0.07,5.38454097059106,0.35,0.74,0.9,-4.74,1.10200244036939
"P15311","EZRI_HUMAN","Ezrin (Cytovillin) (Villin-2) (p81)","EZR",10.9,10.67,10.5,10.57,10.71,10.56,10.62,10.62,9.25,9.14,9.33,14,-0.04,10.2629127359665,-0.34,0.74,0.9,-4.74,1.42135991844514
"Q8NC51","PAIRB_HUMAN","Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)","SERBP1",9.79,9.89,9.63,9.7,9.8,9.69,9.97,9.73,8.73,8.15,8.49,9,0.04,9.41442579078685,0.34,0.74,0.9,-4.74,1.3429350396074
"Q9UNX3","RL26L_HUMAN","60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)","RPL26L1",6.92,7.19,7.19,7.29,7.04,7.14,7.35,7.25,5.69,5.27,5.48,1,0.05,6.70975711825488,0.34,0.74,0.9,-4.74,1.71051270418003
"Q8TAT6","NPL4_HUMAN","Nuclear protein localization protein 4 homolog (Protein NPL4)","NPLOC4",4.86,5.33,5.81,5.6,5.55,5.24,5.94,5.17,3.37,3.23,3.43,1,0.08,4.86758317622952,0.34,0.74,0.9,-4.74,2.131620803797
"Q7Z5J4","RAI1_HUMAN","Retinoic acid-induced protein 1","RAI1",6.66,6.37,6.03,6.44,6.56,6.52,6.23,6.39,4.69,4.89,4.77,1,0.05,5.95887490170892,0.34,0.74,0.9,-4.74,1.6430929072307
"Q99471","PFD5_HUMAN","Prefoldin subunit 5 (Myc modulator 1) (c-Myc-binding protein Mm-1)","PFDN5",5.86,6.1,6.18,6.13,6.02,5.98,6.17,6.29,4.27,4.51,4.27,2,0.04,5.61642712681176,0.34,0.74,0.9,-4.74,1.76277651970054
"P67809","YBOX1_HUMAN","Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)","YBX1",8.47,7.96,7.57,7.33,7.59,7.63,8.09,7.69,6.74,6.12,6.78,6,-0.08,7.45148855883446,-0.34,0.74,0.9,-4.74,1.28239500548253
"Q9Y606","TRUA_HUMAN","tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)","PUS1",4.74,5.33,5.9,5.79,5.3,5.67,5.76,5.37,3.07,2.9,3.17,1,0.08,4.81731274515643,0.34,0.74,0.9,-4.74,2.47604779011614
"O43143","DHX15_HUMAN","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)","DHX15",10.19,9.98,10.06,10.02,10.11,10.11,10.05,10.09,8.45,8.54,8.45,16,0.03,9.64188763999831,0.34,0.74,0.9,-4.74,1.6101082152407
"Q86Y56","DAAF5_HUMAN","Dynein assembly factor 5, axonemal (HEAT repeat-containing protein 2)","DNAAF5",7.12,7.48,7.9,7.74,7.49,7.74,7.58,7.64,5.82,5.68,5.84,2,0.05,7.09493008995492,0.33,0.75,0.91,-4.74,1.83806147778204
"Q9H8W4","PKHF2_HUMAN","Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2) (Endoplasmic reticulum-associated apoptosis-involved protein containing PH and FYVE domains) (EAPF) (PH and FYVE domain-containing protein 2) (Phafin-2) (Phafin2) (Zinc finger FYVE domain-containing protein 18)","PLEKHF2",5.66,5.7,5.89,6.06,5.57,5.95,5.78,5.84,4.42,4.62,4.34,1,-0.05,5.43904142831988,-0.33,0.75,0.91,-4.74,1.36507798710471
"Q14566","MCM6_HUMAN","DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)","MCM6",7.42,7.9,8.2,8.03,7.7,7.86,8.22,7.97,6.51,6.48,6.45,4,0.06,7.52154321935843,0.33,0.75,0.91,-4.74,1.46087357527877
"Q96T88","UHRF1_HUMAN","E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (HuNp95) (hNp95) (RING finger protein 106) (RING-type E3 ubiquitin transferase UHRF1) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)","UHRF1",7.78,7.94,8.44,8.32,7.97,8.25,8.31,8.17,5.86,5.8,5.84,4,0.05,7.516441703686,0.33,0.75,0.91,-4.74,2.3375161498086
"Q07666","KHDR1_HUMAN","KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)","KHDRBS1",10.13,9.73,9.4,9.62,9.93,9.53,9.58,9.63,8.09,7.72,7.96,8,-0.05,9.21103142345253,-0.33,0.75,0.91,-4.74,1.79540806417695
"Q9Y295","DRG1_HUMAN","Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3)","DRG1",6.65,6.95,7.05,6.74,6.78,6.81,7.11,6.86,5.55,5.36,5.28,2,0.04,6.46724068887265,0.33,0.75,0.91,-4.74,1.49154228964075
"Q07020","RL18_HUMAN","60S ribosomal protein L18 (Large ribosomal subunit protein eL18)","RPL18",9.74,9.32,9.13,9.56,9.56,9.57,9.34,9.44,8.28,8.5,8.33,7,0.04,9.16116826286258,0.32,0.75,0.91,-4.74,1.1083323175171
